date_time,date,time,irradiance,ambient_temp,wind_speed
2020-08-20 06:05:00+05:30,20-08-2020,06:05:00,0,28.58,6.33
2020-08-20 06:10:00+05:30,20-08-2020,06:10:00,0,28.57,6.26
2020-08-20 06:15:00+05:30,20-08-2020,06:15:00,0,28.57,6.18
2020-08-20 06:20:00+05:30,20-08-2020,06:20:00,0,28.56,6.11
2020-08-20 06:25:00+05:30,20-08-2020,06:25:00,0,28.56,6.03
2020-08-20 06:30:00+05:30,20-08-2020,06:30:00,0,28.55,5.95
2020-08-20 06:35:00+05:30,20-08-2020,06:35:00,0,28.56,6.01
2020-08-20 06:40:00+05:30,20-08-2020,06:40:00,0,28.57,6.06
2020-08-20 06:45:00+05:30,20-08-2020,06:45:00,0,28.58,6.11
2020-08-20 06:50:00+05:30,20-08-2020,06:50:00,0,28.59,6.16
2020-08-20 06:55:00+05:30,20-08-2020,06:55:00,0,28.6,6.21
2020-08-20 07:00:00+05:30,20-08-2020,07:00:00,0,28.61,6.26
2020-08-20 07:05:00+05:30,20-08-2020,07:05:00,0,28.62,6.31
2020-08-20 07:10:00+05:30,20-08-2020,07:10:00,0,28.63,6.36
2020-08-20 07:15:00+05:30,20-08-2020,07:15:00,0,28.64,6.42
2020-08-20 07:20:00+05:30,20-08-2020,07:20:00,0,28.65,6.47
2020-08-20 07:25:00+05:30,20-08-2020,07:25:00,0,28.66,6.52
2020-08-20 07:30:00+05:30,20-08-2020,07:30:00,30,28.67,6.57
2020-08-20 07:35:00+05:30,20-08-2020,07:35:00,30,28.7,6.51
2020-08-20 07:40:00+05:30,20-08-2020,07:40:00,30,28.73,6.46
2020-08-20 07:45:00+05:30,20-08-2020,07:45:00,30,28.76,6.4
2020-08-20 07:50:00+05:30,20-08-2020,07:50:00,30,28.79,6.35
2020-08-20 07:55:00+05:30,20-08-2020,07:55:00,30,28.83,6.29
2020-08-20 08:00:00+05:30,20-08-2020,08:00:00,30,28.86,6.24
2020-08-20 08:05:00+05:30,20-08-2020,08:05:00,30,28.89,6.18
2020-08-20 08:10:00+05:30,20-08-2020,08:10:00,30,28.92,6.13
2020-08-20 08:15:00+05:30,20-08-2020,08:15:00,30,28.95,6.07
2020-08-20 08:20:00+05:30,20-08-2020,08:20:00,30,28.99,6.02
2020-08-20 08:25:00+05:30,20-08-2020,08:25:00,30,29.02,5.96
2020-08-20 08:30:00+05:30,20-08-2020,08:30:00,92,29.05,5.91
2020-08-20 08:35:00+05:30,20-08-2020,08:35:00,92,29.07,5.88
2020-08-20 08:40:00+05:30,20-08-2020,08:40:00,92,29.09,5.85
2020-08-20 08:45:00+05:30,20-08-2020,08:45:00,92,29.11,5.82
2020-08-20 08:50:00+05:30,20-08-2020,08:50:00,92,29.13,5.79
2020-08-20 08:55:00+05:30,20-08-2020,08:55:00,92,29.14,5.75
2020-08-20 09:00:00+05:30,20-08-2020,09:00:00,92,29.16,5.72
2020-08-20 09:05:00+05:30,20-08-2020,09:05:00,92,29.18,5.69
2020-08-20 09:10:00+05:30,20-08-2020,09:10:00,92,29.2,5.66
2020-08-20 09:15:00+05:30,20-08-2020,09:15:00,92,29.22,5.63
2020-08-20 09:20:00+05:30,20-08-2020,09:20:00,92,29.24,5.6
2020-08-20 09:25:00+05:30,20-08-2020,09:25:00,92,29.26,5.57
2020-08-20 09:30:00+05:30,20-08-2020,09:30:00,135,29.28,5.54
2020-08-20 09:35:00+05:30,20-08-2020,09:35:00,135,29.3,5.46
2020-08-20 09:40:00+05:30,20-08-2020,09:40:00,135,29.32,5.38
2020-08-20 09:45:00+05:30,20-08-2020,09:45:00,135,29.34,5.3
2020-08-20 09:50:00+05:30,20-08-2020,09:50:00,135,29.37,5.23
2020-08-20 09:55:00+05:30,20-08-2020,09:55:00,135,29.39,5.15
2020-08-20 10:00:00+05:30,20-08-2020,10:00:00,135,29.41,5.07
2020-08-20 10:05:00+05:30,20-08-2020,10:05:00,135,29.44,4.99
2020-08-20 10:10:00+05:30,20-08-2020,10:10:00,135,29.46,4.91
2020-08-20 10:15:00+05:30,20-08-2020,10:15:00,135,29.48,4.84
2020-08-20 10:20:00+05:30,20-08-2020,10:20:00,135,29.5,4.76
2020-08-20 10:25:00+05:30,20-08-2020,10:25:00,135,29.53,4.68
2020-08-20 10:30:00+05:30,20-08-2020,10:30:00,144,29.55,4.6
2020-08-20 10:35:00+05:30,20-08-2020,10:35:00,144,29.61,4.6
2020-08-20 10:40:00+05:30,20-08-2020,10:40:00,144,29.68,4.59
2020-08-20 10:45:00+05:30,20-08-2020,10:45:00,144,29.74,4.59
2020-08-20 10:50:00+05:30,20-08-2020,10:50:00,144,29.81,4.58
2020-08-20 10:55:00+05:30,20-08-2020,10:55:00,144,29.87,4.58
2020-08-20 11:00:00+05:30,20-08-2020,11:00:00,144,29.94,4.57
2020-08-20 11:05:00+05:30,20-08-2020,11:05:00,144,30,4.57
2020-08-20 11:10:00+05:30,20-08-2020,11:10:00,144,30.07,4.56
2020-08-20 11:15:00+05:30,20-08-2020,11:15:00,144,30.13,4.56
2020-08-20 11:20:00+05:30,20-08-2020,11:20:00,144,30.2,4.55
2020-08-20 11:25:00+05:30,20-08-2020,11:25:00,144,30.26,4.55
2020-08-20 11:30:00+05:30,20-08-2020,11:30:00,190,30.32,4.54
2020-08-20 11:35:00+05:30,20-08-2020,11:35:00,190,30.37,4.47
2020-08-20 11:40:00+05:30,20-08-2020,11:40:00,190,30.41,4.4
2020-08-20 11:45:00+05:30,20-08-2020,11:45:00,190,30.46,4.32
2020-08-20 11:50:00+05:30,20-08-2020,11:50:00,190,30.5,4.25
2020-08-20 11:55:00+05:30,20-08-2020,11:55:00,190,30.54,4.18
2020-08-20 12:00:00+05:30,20-08-2020,12:00:00,190,30.59,4.1
2020-08-23 15:10:00+05:30,23-08-2020,15:10:00,220,29.01,10.14
2020-08-23 15:15:00+05:30,23-08-2020,15:15:00,220,28.98,10.15
2020-08-23 15:20:00+05:30,23-08-2020,15:20:00,220,28.94,10.15
2020-08-23 15:25:00+05:30,23-08-2020,15:25:00,220,28.91,10.16
2020-08-23 15:30:00+05:30,23-08-2020,15:30:00,190,28.88,10.17
2020-08-23 15:35:00+05:30,23-08-2020,15:35:00,190,28.84,10.16
2020-08-23 15:40:00+05:30,23-08-2020,15:40:00,190,28.8,10.15
2020-08-23 15:45:00+05:30,23-08-2020,15:45:00,190,28.77,10.15
2020-08-23 15:50:00+05:30,23-08-2020,15:50:00,190,28.73,10.14
2020-08-23 15:55:00+05:30,23-08-2020,15:55:00,190,28.7,10.13
2020-08-23 16:00:00+05:30,23-08-2020,16:00:00,190,28.66,10.13
2020-08-23 16:05:00+05:30,23-08-2020,16:05:00,190,28.63,10.12
2020-08-23 16:10:00+05:30,23-08-2020,16:10:00,190,28.59,10.12
2020-08-23 16:15:00+05:30,23-08-2020,16:15:00,190,28.56,10.11
2020-08-23 16:20:00+05:30,23-08-2020,16:20:00,190,28.52,10.1
2020-08-23 16:25:00+05:30,23-08-2020,16:25:00,190,28.49,10.1
2020-08-23 16:30:00+05:30,23-08-2020,16:30:00,159,28.45,10.09
2020-08-23 16:35:00+05:30,23-08-2020,16:35:00,159,28.46,10.15
2020-08-23 16:40:00+05:30,23-08-2020,16:40:00,159,28.47,10.2
2020-08-23 16:45:00+05:30,23-08-2020,16:45:00,159,28.48,10.26
2020-08-23 16:50:00+05:30,23-08-2020,16:50:00,159,28.48,10.31
2020-08-23 16:55:00+05:30,23-08-2020,16:55:00,159,28.49,10.37
2020-08-23 17:00:00+05:30,23-08-2020,17:00:00,159,28.5,10.42
